epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6588,2.93525,3.89528,2.34799,0.00167,0.14815,0.00253,0.00089,2.35757,4.16934,2.25927,0.0003,0.0003,0.0003
2,50.5425,2.88895,3.65374,2.29554,0.00167,0.14815,0.00049,0.00017,2.70223,4.26366,2.49276,0.00069538,0.00069538,0.00069538
3,75.2896,2.66203,3.27069,2.02303,0.00187,0.16667,0.0007,0.00014,2.87791,4.41339,2.69353,0.00108548,0.00108548,0.00108548
4,100.318,2.65228,3.20885,1.9766,0.00229,0.2037,0.00479,0.00107,2.81209,4.22423,2.5576,0.0014703,0.0014703,0.0014703
5,125.186,2.62384,3.00097,1.9404,0.0025,0.22222,0.003,0.00088,2.99922,4.23179,3.85905,0.00184984,0.00184984,0.00184984
6,150.198,2.57868,3.0582,1.83694,0.00292,0.25926,0.00252,0.00067,3.09534,4.12587,3.15891,0.001934,0.001934,0.001934
7,176.316,2.6582,2.89273,2.02265,0.00396,0.35185,0.00702,0.00101,2.95761,4.21872,3.53461,0.0019208,0.0019208,0.0019208
8,201.402,2.46813,2.76639,1.84408,0.00357,0.03704,0.00289,0.00093,3.00707,4.51723,5.37404,0.0019076,0.0019076,0.0019076
9,226.576,2.44491,2.6219,1.87669,0.00417,0.37037,0.00255,0.00059,3.11345,4.25594,6.68753,0.0018944,0.0018944,0.0018944
10,251.479,2.48609,2.7579,1.95967,0.00396,0.35185,0.00222,0.00061,3.16114,4.08686,6.42967,0.0018812,0.0018812,0.0018812
11,276.61,2.5686,2.7871,1.95729,0.00661,0.03704,0.00303,0.00068,3.08482,53.2802,9.26251,0.001868,0.001868,0.001868
12,301.686,2.55599,2.60437,1.89322,0.00458,0.40741,0.00361,0.00104,3.05206,393.185,20.5456,0.0018548,0.0018548,0.0018548
13,327.397,2.53588,2.59664,1.79832,0.00521,0.46296,0.0045,0.00155,2.8091,822.344,19.5898,0.0018416,0.0018416,0.0018416
14,352.334,2.45256,2.62515,1.86079,0.0052,0.09259,0.00379,0.00122,2.76594,331.113,12.4322,0.0018284,0.0018284,0.0018284
15,377.507,2.34819,2.6177,1.78598,0.00399,0.35185,0.00192,0.00072,2.70743,476.838,9.34485,0.0018152,0.0018152,0.0018152
16,402.838,2.30979,2.45611,1.73127,0.01292,0.01852,0.00249,0.00079,2.81208,5.54032,7.42871,0.001802,0.001802,0.001802
17,428.588,2.32827,2.39933,1.69452,0.01112,0.07407,0.00303,0.00102,2.91592,4.51211,3.8153,0.0017888,0.0017888,0.0017888
18,454.034,2.30113,2.53842,1.73934,0.03318,0.07407,0.01358,0.0041,2.85889,3.71672,3.00703,0.0017756,0.0017756,0.0017756
19,479.54,2.24763,2.50396,1.80694,0.09722,0.16667,0.02722,0.00659,2.89864,3.42341,3.0777,0.0017624,0.0017624,0.0017624
20,504.941,2.21907,2.38424,1.69197,0.03735,0.09259,0.01709,0.00441,2.93319,3.67837,3.1915,0.0017492,0.0017492,0.0017492
21,529.761,2.28617,2.40772,1.74918,0.06755,0.12963,0.01889,0.00397,2.96325,3.82205,3.23119,0.001736,0.001736,0.001736
22,554.697,2.20257,2.37045,1.65035,0.04175,0.11111,0.01002,0.00241,2.95222,4.12609,2.87335,0.0017228,0.0017228,0.0017228
23,580.026,2.26557,2.33415,1.75408,0.01872,0.11111,0.00437,0.00087,3.06001,4.45941,2.88754,0.0017096,0.0017096,0.0017096
24,605.114,2.25618,2.32125,1.70017,0.01319,0.11111,0.00446,0.00094,3.00569,4.88195,2.62128,0.0016964,0.0016964,0.0016964
25,630.303,2.17875,2.33238,1.59691,0.02907,0.12963,0.00824,0.00201,3.02636,4.66382,2.96589,0.0016832,0.0016832,0.0016832
26,656.281,2.11146,2.19196,1.58081,0.08061,0.09259,0.01888,0.00506,2.90965,4.47653,2.50082,0.00167,0.00167,0.00167
27,682.023,2.19655,2.27517,1.65751,0.0647,0.12963,0.0164,0.00564,2.85638,4.86804,2.48694,0.0016568,0.0016568,0.0016568
28,708.268,2.18699,2.21389,1.64026,0.06457,0.09259,0.01978,0.00632,2.85476,4.29964,2.49506,0.0016436,0.0016436,0.0016436
29,733.46,2.17831,2.24025,1.57006,0.20091,0.14815,0.08496,0.0216,2.7064,3.4503,2.40601,0.0016304,0.0016304,0.0016304
30,759.238,2.0538,2.15719,1.61696,0.18124,0.14815,0.0761,0.01993,2.55617,3.6748,2.46685,0.0016172,0.0016172,0.0016172
31,784.818,2.11379,2.17568,1.56411,0.17316,0.18519,0.07258,0.02007,2.57466,3.96823,2.38654,0.001604,0.001604,0.001604
32,815.934,2.13117,2.13426,1.57417,0.18103,0.12963,0.06203,0.01694,2.65021,3.96335,2.18198,0.0015908,0.0015908,0.0015908
33,850.309,2.05191,2.03275,1.55584,0.11769,0.2037,0.06258,0.01809,2.68721,3.92409,2.14679,0.0015776,0.0015776,0.0015776
